Name,Email Address,Loyalty Card No,Purchase Amount,Purchase Date & Time,Purchase Transaction ID
Abhay,abhay@demo.com,11001,7402,22-06-2012 11:23,2348723
,,,5000,22-06-2012 13:48,3830283
Anant,anant@example.com,11002,3839,22-06-2012 15:39,2939303
Ashish,ashish@mettl.com,11003,13890,22-06-2012 17:15,2828939
,,11001,12083,23-06-2012 11:38,3839403
Abhimanyu,abhi@mettl.com,11004,33283,23-06-2012 14:18,1384839
,,,5984,23-06-2012 19:56,8383939
Ashu Kumar,,11003,38103,24-06-2012 15:38,9388383
Anant,anant@mettl.com,11002,7281,24-06-2012 19:18,2938381
,,,1038,24-06-2012 20:00,8383383
Abhijeet,abhi@mettl.com,11005,17937,25-06-2012 18:83,3833838
